Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"N2O emissions, latest year",% change since 1990,"Emissions, pc last year"
124.0,Canada,130.42,125.44,127.29,127.25,137.17,138.97,146.07,141.82,129.17,121.88,120.31,116.89,116.42,121.34,128.67,124.87,117.22,119.67,125.53,114.86,112.05,112.79,117.41,123.89,119.84,122.45,124.97,122.67,127.33,2018,127.33,-2.37,0.003
140.0,Central African Republic,,,,,25643.2,,,,,,,,,2612.37,2614.23,2615.78,78.74,80.29,81.84,83.7,85.56,,,,,,,,,2010,85.56,,0.02
148.0,Chad,,,,773.85,,,,,17877.7,16557.1,16324.6,17666.9,15633.3,14973.0,,,,,,,,,,,,,,,,2003,14973.0,,1.597
152.0,Chile,5797.0,,,7123.8,6386.0,,,,,,6944.0,,,,,,7969.0,,,,7378.0,,,7192.0,,,6913.0,,,2016,6913.0,19.25,0.38
156.0,China,,,,,264120.0,,,,,,,,,,,500000.0,,,,,546530.0,,638600.0,,609770.0,,,,,2014,609770.0,,0.436
170.0,Colombia,24636.63,,,,28337.72,,,,,,33321.9,,,,34375.9,,,,,,,,,,,,,,,2004,34375.9,39.53,0.817
174.0,Comoros,,,,,386.17,,,,,,146.86,,,,,,,,,,,,,,,,,,,2000,146.86,,0.271
178.0,Congo,,,,,117.8,,,,,,266.6,,,,,,,,,,,,,,,,,,,2000,266.6,,0.085
184.0,Cook Islands,,,,,37.14,,,,,,,,,,,,,,,,,,,,,,,,,1994,37.14,,1.947
188.0,Costa Rica,184.83,,,,,,2551.3,,,,2565.13,,,,,2592.28,,,,,,,,,,,,,,2005,2592.28,1302.51,0.605
384.0,Côte d’Ivoire,,,,,1700.04,,,,,,185677.6,,,,,,,,,,,,,,,,,,,2000,185677.6,,11.284
191.0,Croatia,9.78,9.25,9.21,7.87,7.98,7.72,7.63,8.24,7.14,7.83,8.15,8.07,7.96,7.61,8.34,8.32,8.37,8.55,9.58,7.42,8.22,8.47,7.78,5.78,5.56,6.21,5.35,5.81,5.66,2018,5.66,-42.14,0.001
192.0,Cuba,6423.2,,4349.3,,3202.3,,3555.7,,3608.4,,3428.97,,3038.62,,,,,,,,,,,,,,,,,2002,3038.62,-52.69,0.271
196.0,Cyprus,0.98,0.99,1.09,1.15,1.13,1.27,1.19,1.17,1.25,1.22,1.17,1.28,1.29,1.28,1.15,1.06,1.11,1.09,1.05,1.02,1.08,1.04,1.02,0.94,0.92,0.95,0.97,0.99,1.0,2018,1.0,1.54,0.001
203.0,Czechia,31.5,27.01,24.18,21.68,21.29,22.28,21.48,21.38,20.99,20.33,21.75,22.58,21.25,19.67,21.97,21.34,20.93,21.12,21.37,18.54,18.12,20.27,19.78,19.03,19.37,20.71,21.82,21.54,20.38,2018,20.38,-35.31,0.002
408.0,Democratic People's Republic of Korea,4030.0,,,,4650.0,,,,,,930.0,,930.0,,,,,,,,,,,,,,,,,2002,930.0,-76.92,0.04
180.0,Democratic Republic of the Congo,,,,,2557.19,,,,,8990.0,6606.1,6317.8,6271.3,6060.5,,,,,,,,,,,,,,,,2003,6060.5,,0.118
208.0,Denmark,27.42,26.89,26.05,25.26,24.98,24.75,23.58,23.69,23.85,24.08,23.88,23.22,23.0,22.59,21.14,19.0,18.55,19.15,19.13,18.46,18.13,18.11,17.81,17.79,18.12,18.15,18.66,18.86,18.19,2018,18.19,-33.65,0.003
262.0,Djibouti,,,,,0.57,,,,,,449.5,,,,,,,,,,,,,,,,,,,2000,449.5,,0.626
212.0,Dominica,,,,,13.07,,,,,,36.45,33.48,31.31,33.17,23.56,30.07,2.36,2.39,2.42,2.39,2.39,2.39,2.39,2.39,2.36,2.36,2.36,2.29,,2017,2.29,,0.032
214.0,Dominican Republic,838.24,,,,778.78,,,,2819.45,,3179.98,,,,,,,,,,3483.66,,,,,,,,,2010,3483.66,315.59,0.359
218.0,Ecuador,151345.1,,,,,,,,,,,,,,,,,,,,7351.46,,7382.68,,,,,,,2012,7382.68,-95.12,0.477
818.0,Egypt,10329.82,,,,,,,,,,24445.67,,,,,28933.94,,,,,,,,,,,,,,2005,28933.94,180.1,0.383
222.0,El Salvador,,,,,4094.48,,,,,,,,,,,1646.1,,,,,,,,,,,,,,2005,1646.1,,0.272
232.0,Eritrea,,,,,1866.2,,,,,,310.0,,,,,,,,,,,,,,,,,,,2000,310.0,,0.135
233.0,Estonia,4.93,4.8,3.99,3.12,2.82,2.57,2.43,2.46,2.54,2.24,2.29,2.25,2.17,2.34,2.46,2.47,2.43,2.65,2.84,2.68,2.73,2.74,2.91,2.92,3.02,3.1,3.02,3.1,3.06,2018,3.06,-37.89,0.002
748.0,Eswatini,,,,,414.62,,,,,,,,,,,,,,,,,,,,,,,,,1994,414.62,,0.457
231.0,Ethiopia,3100.0,4340.0,4650.0,4650.0,12134.98,11025.4,11851.02,15927.29,16209.34,16341.9,15731.22,16047.5,18274.5,17933.81,19562.18,10924.85,18969.54,13388.1,21952.74,22675.18,23647.45,20752.26,24240.07,24123.86,,,,,,2013,24123.86,678.19,0.253
242.0,Fiji,,,,,27.9,,,,,,,,,,628.68,,,,,,,,,,,,,,,2004,628.68,,0.769
246.0,Finland,21.33,19.86,18.42,18.97,19.35,19.81,19.93,19.98,19.39,19.22,19.47,19.12,19.25,19.7,19.99,20.29,19.6,19.83,20.36,17.46,16.14,15.67,15.64,15.77,15.97,15.99,16.03,16.17,16.0,2018,16.0,-24.97,0.003
250.0,France,222.75,224.59,223.43,220.7,220.96,226.08,231.18,230.95,208.55,188.9,185.29,184.13,174.92,168.59,163.2,160.03,155.7,156.26,153.65,148.49,140.92,136.0,136.71,135.96,140.05,139.49,135.93,140.98,135.31,2018,135.31,-39.26,0.002
266.0,Gabon,,,,,949.22,,,,,,291.85,,,,,,,,,,,,,,,,,,,2000,291.85,,0.238
270.0,Gambia,,,,66.01,,,,,,,1102.9,,,,,,,,,,,,,,,,,,,2000,1102.9,,0.837
268.0,Georgia,622.85,2006.94,1631.84,1077.87,982.39,999.13,1210.55,338.52,,,1822.09,1810.37,1872.49,1872.8,1857.18,2268.08,2081.2,1865.58,1651.33,2026.79,1997.68,1990.3,2078.44,2223.46,,,,,,2013,2223.46,256.98,0.549
276.0,Germany,209.81,202.54,206.74,197.85,201.56,199.67,204.25,194.51,151.74,139.96,140.14,144.99,142.18,144.41,151.71,145.23,143.71,150.03,151.36,148.39,121.6,125.97,123.7,125.53,127.69,129.76,126.96,125.98,119.19,2018,119.19,-43.19,0.001
288.0,Ghana,2813.56,2520.61,2473.8,2526.5,2569.9,2501.7,2675.3,2802.09,2822.55,2988.4,3069.0,3335.6,3313.9,3434.8,3496.8,3568.1,3960.56,,,,,,,,,,,,,2006,3960.56,40.77,0.177
300.0,Greece,25.05,24.59,24.06,22.19,21.8,22.49,23.07,22.53,22.27,22.12,21.38,20.93,20.79,20.55,20.56,19.99,19.43,19.77,18.97,17.76,18.42,17.6,16.17,15.16,14.47,14.26,14.44,14.65,14.38,2018,14.38,-42.6,0.001
308.0,Grenada,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,1994,0.95,,0.01
