Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"NOx emissions, latest year",% change since 1990,"Emissions, pc last year"
499.0,Montenegro,7.66,9.45,2.51,4.65,3.99,2.87,6.31,6.22,7.49,8.39,8.8,7.25,7.33,7.36,7.53,7.41,7.72,7.91,9.3,7.48,9.02,10.15,,,,,,,,2011,10.15,32.48,16.23
504.0,Morocco,,,,,152.0,,,,,,190.82,,,,,,,,,,302.07,,326.56,,,,,,,2012,326.56,,9.82
508.0,Mozambique,75.94,,,,93.1,,,,,,,,,,,,,,,,,,,,,,,,,1994,93.1,22.6,6.23
104.0,Myanmar,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.03,,,,,,,,,,,,,,2005,0.03,,0.0
516.0,Namibia,,,,,,,,,,,41.2,,,,,,,,,,,,,,,,,,,2000,41.2,,22.96
520.0,Nauru,,,,,,,,,,,0.05,,,0.21,,,,0.08,,,0.15,,,,,,,,,2010,0.15,,14.98
524.0,Nepal,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,2000,67.0,,2.8
528.0,Netherlands,587.21,446.26,433.47,418.57,395.54,486.15,373.19,355.17,423.93,421.4,399.78,389.22,375.5,370.57,357.97,347.51,335.62,318.53,311.97,292.13,288.15,273.41,263.74,257.75,245.21,243.09,232.26,220.68,211.61,2018,211.61,-63.96,12.4
554.0,New Zealand,101.71,102.98,112.39,113.91,118.1,121.21,126.97,135.05,129.91,137.93,144.97,152.05,155.4,162.97,157.4,165.85,165.2,161.48,164.23,154.19,155.78,155.39,163.59,163.56,164.2,165.66,159.71,170.78,168.34,2018,168.34,65.52,35.49
558.0,Nicaragua,,,,,18.58,,,,,,69.62,,,,,,,,,,,,,,,,,,,2000,69.62,,13.73
562.0,Niger,,,,,,,,,,,22.0,,,,,,,,24.0,,,,,,,,,,,2008,24.0,,1.57
566.0,Nigeria,,,,,470.34,,,,,,1005.0,,,,,,,,,,,,,,,,,,,2000,1005.0,,8.22
570.0,Niue,,,,,0.03,,,,,,,,,,,0.07,0.08,0.09,0.06,0.06,,,,,,,,,,2009,0.06,,34.59
807.0,North Macedonia,41.41,37.11,32.19,36.0,34.15,34.31,33.91,35.91,37.08,36.36,34.07,33.96,32.06,34.88,31.7,32.1,33.0,34.29,35.94,34.07,,,,,,,,,,2009,34.07,-17.74,16.46
578.0,Norway,201.63,196.05,200.08,204.56,209.17,220.07,230.69,239.12,242.53,235.62,223.07,221.03,215.71,215.97,213.58,216.2,214.92,216.23,209.65,200.04,204.8,206.08,202.1,194.9,188.16,177.67,169.13,161.63,163.49,2018,163.49,-18.92,30.63
512.0,Oman,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,1994,0.22,,0.1
585.0,Palau,,,,,,,,,,,0.0,,,,,0.01,,,,,,,,,,,,,,2005,0.01,,0.26
591.0,Panama,,,,,1.65,,,,,,33.69,,,,,,,,,,,,,,,,,,,2000,33.69,,11.12
598.0,Papua New Guinea,,,,,,,,,,,18.23,,,,,,,,,,,,,,,,,,,2000,18.23,,3.12
600.0,Paraguay,79.04,,,,43.58,,,,,,39.06,,,,,48.05,,,,,,64.21,62.17,,,,,,,2012,62.17,-21.34,9.68
604.0,Peru,,,,,138.46,,,,,,,,,,,,,,,,,,,,,,,,,1994,138.46,,5.81
608.0,Philippines,,,,,316.8,,,,,,,,,,,,,,,,,,,,,,,,,1994,316.8,,4.65
616.0,Poland,1089.52,1072.5,1056.7,1061.71,1055.17,1053.3,1083.77,1030.43,942.4,913.83,851.84,828.83,797.67,818.47,839.76,869.47,890.32,892.8,863.09,856.36,887.89,871.67,835.95,795.83,746.58,725.26,742.18,803.65,,2017,803.65,-26.24,21.17
620.0,Portugal,251.03,265.04,285.54,275.1,274.02,284.85,265.14,266.9,279.48,290.39,283.17,280.98,286.65,262.45,264.46,269.03,248.01,237.2,220.06,208.43,191.79,175.79,162.99,159.65,156.65,160.46,154.08,157.42,152.38,2018,152.38,-39.3,14.86
634.0,Qatar,,,,,,,,,,,,,,,,,,175.69,,,,,,,,,,,,2007,175.69,,144.19
498.0,Republic of Moldova,137.38,117.94,78.45,63.13,56.76,47.77,45.03,41.79,35.05,25.65,24.4,26.61,27.37,30.71,32.11,32.86,30.89,32.39,34.81,35.05,39.1,39.95,37.02,36.34,,,,,,2013,36.34,-73.55,8.92
642.0,Romania,484.53,427.81,462.93,406.84,399.44,397.1,460.0,423.07,393.44,330.29,383.51,365.22,378.66,397.0,364.73,328.62,329.87,351.6,309.03,275.1,253.05,258.3,280.48,237.53,229.6,227.75,213.42,207.6,204.04,2018,204.04,-57.89,10.46
643.0,Russian Federation,8006.17,7645.87,6186.49,5890.42,5237.93,5181.71,5131.9,4763.62,4720.35,4722.76,4831.12,4958.21,4917.11,5008.39,4989.7,5043.94,5096.63,5019.21,5095.87,4789.16,4902.0,4991.7,4803.85,4576.82,4645.86,4705.25,4484.77,4448.25,4549.64,2018,4549.64,-43.17,31.22
646.0,Rwanda,,,,,,,,,,,,,0.38,,,14.2,,,,,,,,,,,,,,2005,14.2,,1.61
662.0,Saint Lucia,,,,,1.34,,,,,,1.84,,,,,2.1,,,,,2.7,,,,,,,,,2010,2.7,,15.51
670.0,Saint Vincent and the Grenadines,28.78,,,,25.81,,,27.86,,,0.86,,,,1.35,,,,,,,,,,,,,,,2004,1.35,-95.32,12.4
882.0,Samoa,,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,1994,0.97,,5.75
674.0,San Marino,,,,,,,,,,,,,,,,,,1.54,,,1.81,,,,,,,,,2010,1.81,,57.97
678.0,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,2012,0.75,,4.0
686.0,Senegal,,,,,,,,,,,5.96,,,,,34.57,,,,,,,,,,,,,,2005,34.57,,3.12
688.0,Serbia,207.28,,,,,,,,164.0,,,,,,,,,,,,,,,,,,,,,1998,164.0,-20.88,16.93
690.0,Seychelles,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,2000,1.15,,14.2
703.0,Slovakia,134.52,120.37,112.83,108.95,109.68,113.38,113.66,113.84,113.88,109.93,107.83,108.81,102.69,100.65,100.51,104.1,97.33,96.78,97.39,87.77,85.8,78.15,75.95,73.79,74.57,72.58,67.85,67.29,66.06,2018,66.06,-50.89,12.11
705.0,Slovenia,72.06,66.43,66.75,70.31,73.42,72.18,74.83,73.55,66.63,59.9,59.34,59.17,58.65,56.2,54.68,55.93,56.21,54.26,58.46,49.82,48.58,47.59,46.12,43.6,38.97,35.25,36.13,34.75,33.8,2018,33.8,-53.1,16.27
90.0,Solomon Islands,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,2000,1.08,,2.61
728.0,South Sudan,,,,,,,,,,,,,,,,,,,,,,,30.21,51.48,61.35,62.04,,,,2015,62.04,,5.79
724.0,Spain,1421.22,1462.4,1503.19,1458.78,1490.41,1466.48,1454.69,1432.98,1415.52,1442.76,1475.32,1441.44,1468.15,1471.67,1490.6,1464.0,1423.35,1414.08,1207.4,1086.47,1010.99,1001.41,945.51,851.46,844.55,857.72,815.38,818.05,772.6,2018,772.6,-45.64,16.55
144.0,Sri Lanka,,,,52.0,60.47,62.0,,,,,83.68,,,,,,,,,,,,,,,,,,,2000,83.68,,4.46
729.0,Sudan,,,,,,74.0,,,,,97.0,,,,,,,,,,,,,,,,,,,2000,97.0,,3.56
740.0,Suriname,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,2003,9.0,,18.44
