Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"GHG total without LULUCF, latest year",% change since 1990,"Emissions, pc last year"
417.0,Kyrgyzstan,28392.48,25545.53,22097.85,17662.99,13326.1,9839.62,9788.59,10790.37,9642.83,9223.92,9279.34,9241.1,9828.88,10268.92,10990.12,11369.69,11435.36,12478.44,13746.3,13636.63,12773.96,,,,,,,,,2010,12773.96,-55.01,2.36
418.0,Lao People's Democratic Republic,6866.56,,,,,,,,,,8898.18,,,,,,,,,,,,,,,,,,,2000,8898.18,29.59,1.67
428.0,Latvia,26288.57,24408.85,19652.62,16239.32,14312.39,12954.57,13004.99,12454.06,11956.98,11177.51,10561.51,11142.87,11118.97,11308.07,11276.28,11451.43,11932.7,12380.71,11906.52,11221.35,12309.64,11519.61,11336.64,11264.06,11166.0,11214.0,11203.13,11248.15,11745.26,2018,11745.26,-55.32,6.09
422.0,Lebanon,,,,,15702.33,,,,,,18446.84,,,,,,,,,,,24484.86,26223.53,26134.76,,,,,,2013,26134.76,,4.42
426.0,Lesotho,,,,,1820.29,,,,,,3512.89,,,,,,,,,,,,,,,,,,,2000,3512.89,,1.73
430.0,Liberia,,,,,,,,,,,8021.78,,,,,,,,,,,,,,,,,,,2000,8021.78,,2.82
438.0,Liechtenstein,228.39,235.9,236.09,243.22,229.68,233.53,235.9,248.47,259.49,256.5,247.12,246.7,253.01,263.28,263.96,264.51,267.84,238.55,258.55,243.91,229.02,215.97,225.2,231.77,199.73,197.79,187.99,194.0,181.08,2018,181.08,-20.72,4.78
440.0,Lithuania,48016.43,50014.7,30804.47,24733.05,23313.27,22332.61,23384.19,22935.81,23918.89,21059.86,19523.18,20317.59,20680.25,20844.98,21702.41,22801.83,23095.7,25282.97,24376.27,20068.47,20887.59,21462.69,21396.48,20167.64,20110.69,20400.43,20420.35,20617.61,20266.83,2018,20266.83,-57.79,7.23
442.0,Luxembourg,12741.06,13382.78,13146.8,13293.45,12468.53,10091.81,10155.26,9503.14,8622.18,9087.98,9669.11,10158.18,10934.88,11376.3,12766.97,13009.12,12838.07,12253.93,12135.1,11587.58,12169.06,12046.25,11773.25,11234.48,10776.85,10290.1,10050.69,10235.7,10547.15,2018,10547.15,-17.22,17.46
450.0,Madagascar,,,,,21933.66,,,,,,29343.9,,,,,25924.6,27695.96,27733.32,27239.25,27414.91,27756.08,,,,,,,,,2010,27756.08,,1.31
454.0,Malawi,8044.56,,,,7070.34,,,,,,,,,,,,,,,,,,,,,,,,,1994,7070.34,-12.11,0.73
458.0,Malaysia,67367.88,94590.97,102038.42,112581.63,123587.83,125005.3,143655.76,163827.66,155853.09,169353.53,195703.31,204986.35,213125.6,227260.32,244841.99,262996.44,263945.15,279777.19,288268.42,280071.16,301001.12,287740.31,,,,,,,,2011,287740.31,327.12,10.04
462.0,Maldives,,,,,152.98,,,,,,,,,,,,,,,,,1282.1,1351.7,1447.68,1508.21,1535.9,,,,2015,1535.9,,3.38
466.0,Mali,,,,,,8666.21,,,,,12298.7,,,,,,,,,,52732.84,,,,,,,,,2010,52732.84,,3.5
